ID,C,H,N,S,O,feed_LHV,feed_type,feed_shape,feed_particle_size,feed_ash,feed_moisture,feed_VM,feed_FC,feed_cellulose,feed_hemicellulose,feed_lignin,temperature,operating_condition,operating_pressure,residence_time,steam_biomass_ratio,ER,gasifying_agent,reactor_type,bed_material,catalyst,scale
1,59.39,8.57,0.93,0.27,32.3,19.45,municipal solid waste,pellets,5,20.69,6.4,NaN,NaN,NaN,NaN,NaN,849,continuous,NaN,120,NaN,0.26,air,fluidised bed,olivine,1,pilot
2,59.39,8.57,0.93,0.27,32.3,19.45,municipal solid waste,pellets,5,20.69,6.4,NaN,NaN,NaN,NaN,NaN,852,continuous,NaN,120,NaN,0.26,air,fluidised bed,olivine,1,pilot
3,59.39,8.57,0.93,0.27,32.3,19.45,municipal solid waste,pellets,5,20.69,6.4,NaN,NaN,NaN,NaN,NaN,869,continuous,NaN,120,NaN,0.27,air,fluidised bed,olivine,1,pilot
4,59.39,8.57,0.93,0.27,32.3,19.45,municipal solid waste,pellets,5,20.69,6.4,NaN,NaN,NaN,NaN,NaN,879,continuous,NaN,120,NaN,0.3,air,fluidised bed,olivine,1,pilot
5,59.39,8.57,0.93,0.27,32.3,19.45,municipal solid waste,pellets,5,20.69,6.4,NaN,NaN,NaN,NaN,NaN,898,continuous,NaN,120,NaN,0.32,air,fluidised bed,olivine,1,pilot
6,59.39,8.57,0.93,0.27,32.3,19.45,municipal solid waste,pellets,5,20.69,6.4,NaN,NaN,NaN,NaN,NaN,932,continuous,NaN,120,NaN,0.33,air,fluidised bed,olivine,1,pilot
7,86.03,13.97,0,0,0,42.9,plastics,pellets,2,1,0.2,NaN,NaN,NaN,NaN,NaN,867,continuous,NaN,NaN,NaN,0.22,air,fluidised bed,silica,0,pilot
8,86.03,13.97,0,0,0,42.9,plastics,pellets,2,1,0.2,NaN,NaN,NaN,NaN,NaN,898,continuous,NaN,NaN,NaN,0.31,air,fluidised bed,silica,0,pilot
9,86.03,13.97,0,0,0,42.9,plastics,pellets,2,1,0.2,NaN,NaN,NaN,NaN,NaN,845,continuous,NaN,NaN,NaN,0.2,air,fluidised bed,silica,0,pilot
10,86.03,13.97,0,0,0,42.9,plastics,pellets,2,1,0.2,NaN,NaN,NaN,NaN,NaN,807,continuous,NaN,NaN,NaN,0.27,air,fluidised bed,olivine,1,pilot
