N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE
61.77,8.48,9.74,13.36,4.18,2.19,5.39,73,1.62,NaN,53,70
60.64,7.11,8.98,15.69,4.2,2.72,5.652,47,1.73,NaN,56,80
61.67,8.44,10.47,12.28,4.57,2.14,5.55,58,1.72,NaN,58,75
61.86,8.24,10.4,12.83,4.35,2.05,5.16,39,1.91,NaN,61,81
60.66,7.08,12.73,14.04,3.33,1.78,4.91,5,2.04,NaN,61,92
64.61,7.68,10.58,11.66,3.78,1.27,4.69,42,2,NaN,57,79
64.7,9.5,2.4,9.6,9.1,4.7,7.5,130,3.312,NaN,58,60.03240451
68,8.1,2.2,10.4,7.1,4.2,6.3,81,4.342857143,NaN,63,72.87745919
64.1,9.1,2.8,9.1,10.4,4.5,7.9,160,2.962025316,NaN,55,54.941085
49,26.9,20,1.4,2.2,0.5,6.5,0,5.427692308,NaN,82,76.44453925
45.1,30.1,18.4,1.6,3.4,1.4,7.6,0,4.168421053,NaN,74,62.71985123
48.5,27.1,20.1,1.7,2.1,0.5,6.5,0,5.649230769,NaN,85,80.62571603
50.3,24,19.5,3.3,2,0.9,6.3,0,6,NaN,88,92.09086115
44.4,30.8,19,1.6,3.2,1,7.5,0,4.8,NaN,84,71.0513505
47.2,29.1,20.9,1.2,1.5,0.1,6.4,0,6.1875,NaN,92,84.14114676
56.2,14.7,18.3,3.1,5.7,2,7.1,0,5.678873239,NaN,94,101.9573122
46.2,30.6,17.5,2.3,2.8,0.6,6.9,0,4.904347826,NaN,79,67.34553315
46.4,28.2,21.1,1.5,2.3,0.5,6.8,0,5.823529412,NaN,93,86.61653054
45.7,29.5,19.9,1.7,2.5,0.7,7,0,5.142857143,NaN,84,75.4285835
54.8,13.7,16.7,5.1,7.3,2.4,7.7,0,5.142857143,NaN,93,101.5530478
68.5,6.6,4.8,11.4,6.3,2.4,5.2,56,3.323076923,NaN,52,63.45004887
64.2,8,4.6,11.6,7.9,3.7,6.4,55,3.0375,NaN,58,66.73248493
66.3,6.8,3.7,11.1,7.3,4.8,6.8,99,2.647058824,NaN,54,58.5407992
65.6,8.6,5.3,9.8,7.3,3.4,6.4,59,3.76875,NaN,60,68.86869318
61,9.6,4.5,10.9,8.6,5.4,7.9,32,3.508860759,NaN,69,76.44103093
55.8,9.9,11.6,14.3,6.3,2.1,6.2,19,2.438709677,NaN,60,74.27069443
60.7,7.9,10.9,14.1,4.9,1.5,5,14,2.736,NaN,54,75.50717447
64.7,5.9,7.6,13.4,6.6,1.8,5.2,15,2.492307692,NaN,48,57.3607755
62.3,7.9,8.7,12.3,7,1.8,5.7,43,2.210526316,NaN,46,51.32177354
57.9,9.2,9.1,12.8,8.3,2.7,6.9,54,1.930434783,NaN,49,50.41013236
62,7.25,11.5,17,2.25,NaN,3.27,NaN,1.3,NaN,28,50
57.4,6.5,13.75,18.75,3.6,NaN,3.45,NaN,1.5,NaN,37,64
53,7.25,17.25,19,3.5,NaN,4.45,NaN,1.75,NaN,50,75
51.75,9.5,18.75,17,3,NaN,4.95,NaN,1.9,NaN,63,82
50.75,12.25,20,14,3,NaN,5.37,NaN,2,NaN,71,89
55.75,7.5,15.75,18,3,NaN,4.25,NaN,1.2,NaN,29,47
54.28,5.55,16.62,19.24,4.31,NaN,4.53,NaN,1.3,NaN,36,59
57.5,5,14.75,19.75,3,NaN,3.8,NaN,1.65,NaN,38,67
58.5,4,13.75,21,2.75,NaN,3.35,NaN,1.76,NaN,39,71
61,6,15,15,3,NaN,3.86,NaN,1.2,NaN,30,52
59.75,6,14.5,17.5,2.25,NaN,3.5,NaN,1.7,NaN,35,70
55.25,8,15,19,2.75,NaN,4,NaN,1.75,NaN,43,79
50,14.5,16,16.75,2.75,NaN,5.1,NaN,1.8,NaN,58,82
46.7,19.5,17.8,13.25,2.75,NaN,5.87,NaN,2,NaN,72,84
1.5,22,42.5,21,8.5,4.5,7.945,NaN,1.43,NaN,59.8652764,78.17
2.5,28,39,19,8,3.5,7.651,NaN,1.51,NaN,60.87517213,80.66
1.5,32,37.5,18,7.5,3.5,8.56,NaN,2.23,NaN,100.5827906,85.9
1,36.5,34,18.5,7.5,2.5,8.223,NaN,2.45,NaN,106.1552378,92.35
1,39,33.5,19,6.5,1,7.362,NaN,2.53,NaN,98.14346509,92.59
1.5,32.5,37.5,17.75,7.75,3,8.817,NaN,2.13,NaN,98.9567668,76.26
0.75,32,39,17.5,7.75,3,8.839,NaN,2.25,NaN,104.7926215,84.49
0,32,40,17.5,7.5,3,8.708,NaN,2.37,NaN,108.7456314,90.6
0.5,32,39,18.25,7.5,2.75,8.164,NaN,2.18,NaN,93.77877224,84
0.5,32.5,37.5,19.75,7.25,2.5,7.277,NaN,1.88,NaN,72.08672198,70.6
0,33,43,16,6,2,6.741,NaN,1.46,NaN,51.85877287,68.67
1.25,30,40.5,17,8,3.25,9.143,NaN,2.39,NaN,115.1414445,92.09
1.75,31,39,17.5,7.75,3,8.905,NaN,2.34,NaN,109.7981023,88.7
1,32.5,37.5,18.5,7.5,3,8.56,NaN,2.23,NaN,100.5827906,85.9
0.5,32.5,37.5,19,7.5,3,8.1,NaN,1.95,NaN,83.22708487,75.1
0,32.25,37.5,21.25,6.5,2.5,6.976,NaN,1.53,NaN,56.23969487,77.62
0.25,32.25,37.5,19.5,7.5,3,7.937,NaN,1.93,NaN,80.71583471,84.4
0.25,32.25,40,17,7.5,3,8.708,NaN,2.37,NaN,108.7456314,90.6
0.25,30.5,41,17,7.75,3.5,8.737,NaN,2.57,NaN,118.3151918,95.1
60.9,9.8,7.2,14.2,3.7,2.6,3.4,17.3,0.96805,44.47935,28.6206087,54
52.2,14,10.7,13.6,4.9,3.2,4.8,14.1,1.019,35.5631,42.53217391,67.3
47.7,16.4,12.6,13,5.7,3.3,5.6,10.2,1.019,36.22545,49.62086957,72.8
65.1,7.6,6.9,14.1,2.7,2.1,2.8,11.8,1.27375,44.98885,31.01304348,66.2
60.8,10.4,8,14.1,3,2.2,3.3,7.6,1.27375,28.532,36.55108696,71.3
57.7,12.1,10.1,13.1,3.3,2.4,3.9,4.3,1.3247,19.0553,44.9246087,77.9
74.9,3.2,4.3,14.1,1,0.8,1.3,6.6,1.47755,23.1313,16.70273913,61.6
65.3,8.5,6.9,13.8,2.4,1.5,2.7,4.8,1.57945,19.6667,37.08273913,79.5
63.3,9.7,8.2,13.9,2.1,1.4,2.9,3,1.57945,6.5216,39.8296087,89.1
60.8,9.9,7.7,14.8,2.8,1.9,3.2,11.2,1.2228,18.9534,34.02573913,72.2
59.2,11,8.4,14.8,3.1,2,3.5,7.2,1.3247,8.40675,40.31695652,79.7
53.8,15.5,10.4,14.1,3.2,1.5,4.2,4,1.4266,6.7254,52.10191304,86.7
60.4,10,7.8,15.6,2.9,1.8,3.2,10.9,1.27375,17.67965,35.44347826,74.7
58.5,12,8.6,15.2,2.7,1.6,3.5,6.9,1.3247,7.59155,40.31695652,79.8
53.1,16.1,10.1,14.7,3,1.5,4.2,3.9,1.4266,7.59155,52.10191304,87.6
